MSOA_code,Burglary,Criminal Damage,Drugs,Other Notifiable Offences,Robbery,Theft and Handling,Violence Against the Person,MSOA_name,Total_yearly_income_2018,pc_change_inc,Total_crime
E02000039,1.2021029746115215,0.6907048772731802,0.3842110633208088,0.9025089487266464,0.8257455131795175,1.2896564642681554,0.751107864160059,Barnet 016,67000,68.59587317564167,661.0
E02000040,1.7624855030682278,0.8401838864143762,0.14020804905505407,0.9057060958122164,0.5524471500118027,1.169480498806652,0.723361867218176,Barnet 017,55000,58.04597701149425,494.0
E02000041,0.8805297719616753,0.8897527062831471,0.3136901097517967,0.9906616192921868,0.8090184548591814,1.2280110203894392,0.9080176805392451,Barnet 018,51300,56.40243902439024,1104.0
E02000042,1.0637958910050054,0.9241209407008851,0.6928512627393023,1.106876697926041,0.9126584440747655,1.016624101804405,1.0194079781470275,Barnet 019,51100,49.284253578732105,1033.0
E02000043,3.100695231920939,0.48331975532891047,0.7057342556512037,0.6512646453147525,0.5417008576931928,0.8633614597497803,0.6214141634756754,Barnet 020,65800,52.03327171903882,229.0
E02000044,1.4528741237367642,1.2970338746521934,0.6763942991523116,1.2622492507174596,0.6783956835017094,0.7221542080131077,1.1735125977789338,Barnet 021,49400,70.4035874439462,512.0
E02000045,1.073086342452935,0.9112892692167107,0.6359456500453191,1.0121250555729866,0.4753992676857146,1.1746657403529246,0.893777965425932,Barnet 022,49800,57.644824311490986,835.0
E02000046,1.6875488914546806,0.6528325370300211,0.5447163285127389,0.5413415745084512,0.810486727917002,0.9692797758691762,0.9756666014965937,Barnet 023,60600,62.597263214381535,551.0
E02000047,0.9694685939988505,1.2665870700828932,0.5806738450133863,1.1503054617279682,0.9983862890280978,0.7671980318529594,1.285283987214746,Barnet 024,43800,70.42801556420234,994.0
E02000048,1.6392999464514157,1.1665284988440188,0.35040190337199006,1.5090010500210285,0.5020552974505544,0.956918598289057,0.8958982835763981,Barnet 025,58700,53.383851580872744,593.0
E02000049,1.0272104276454175,1.3309647186304363,1.578139205313343,1.0068496457524274,0.8165283308114608,0.8255512521421292,1.0727828422174162,Barnet 026,43400,80.5324459234609,790.0
E02000050,1.2766390594071915,1.2171578882366625,0.609349937535455,1.6036516535169711,0.6548067259270794,1.0918199821377712,0.7928953153321594,Barnet 027,53100,60.18099547511312,682.0
E02000051,2.1723013815546133,0.8759608042343802,0.7308921141926407,1.4812127004551539,0.8316167357211698,0.8558864687562757,0.7949935387482104,Barnet 028,58600,49.29936305732484,537.0
E02000052,1.2679628716248124,1.0376270997217547,0.3847932012955373,0.5799873480219713,1.7780427819016233,1.0142254654761869,0.8854461369346734,Barnet 029,58600,60.54794520547945,600.0
E02000053,0.8141291662071882,1.5592756963031833,1.4902851443618146,1.2224557686645763,0.5338195542308534,0.6787460315751612,1.315468133765652,Barnet 030,51100,82.76108726752504,976.0
E02000054,1.984471612475252,1.0306002796333456,0.8338633707533087,0.22443883186919233,0.2800214365953525,0.6839363655524189,1.1778346710272583,Barnet 031,57000,64.59717008374241,443.0
E02000055,1.3334217579228427,1.0184485236274712,0.8166739071473161,0.8554852989124951,0.6166896571138184,0.932801696350052,1.0369708582647943,Barnet 032,50400,50.17878426698451,1046.0
E02000056,2.3294516221917223,0.9242607429671857,0.19279826369713765,0.5189269442487068,0.6215423619794964,1.1042543584371156,0.580966746572109,Barnet 033,71600,43.54450681635926,479.0
E02000057,1.918687571623556,0.9480104836858287,0.5932571840102502,0.8516180087199333,0.8500179625643934,0.7367588017987641,1.0766743329199533,Barnet 034,54400,51.23714206283013,467.0
E02000058,1.8123204320563309,0.844391380055262,0.3251773532074963,0.7001859332257198,0.19413066731101902,1.137163712009512,0.7769676028322363,Barnet 035,58800,36.55364607524385,639.0
E02000059,1.295041001659511,1.2139369968889608,1.4469939324483991,0.9000997442442052,0.3800959500081205,0.8868795720817119,1.0041868246175165,Barnet 036,46900,66.84453930985414,718.0
E02000060,2.0710827304216535,0.8537040868854122,0.20950628019720724,0.45111797875704274,0.6303785661576683,0.8061798135834974,1.0617548310404108,Barnet 037,49600,28.39761843127103,551.0
E02000061,1.5720103902104208,0.8627634385214293,0.2313901210463142,0.7196788600972599,0.8840944064979325,1.0865373879534013,0.8486816695881971,Barnet 038,65500,56.848659003831415,898.0
E02000062,0.5984485529792625,0.6701643742963048,0.3871231088953705,0.6020229309430268,0.728003565341378,1.5499238893918956,0.6922611024673906,Barnet 039,45400,57.638888888888886,2147.0
E02000063,1.7567537748673034,1.2854060241051892,0.3386932823139203,1.3370298627121935,0.7279188053500704,0.7470696072029106,1.0669888831381849,Barnet 040,54200,66.56422864167179,409.0
E02000064,1.5849535895310154,1.0248168886140787,0.42754800143948585,1.1507685476626413,0.6317335465412743,0.8439991566902164,1.083383170191234,Barnet 041,50100,58.64471184293857,432.0
E02000065,0.9214264153987578,1.5080836204486798,1.0394887428362856,1.5314493278846903,0.35274738316134924,0.7058021116757914,1.3188771166257829,Bexley 001,49800,66.44385026737967,422.0
